
******************************************************************************

       Photoionization cross-sections for Si II

   Data is from the Opacity project
   Verner high energy tail included for gnd level
   Smoothed with a gausian of width 3000 km/sec

          Types of cross sections included:
         -----------------------------------

           2-  Hydrogenic (n,l)
           3 - Hydrogenic (n)
          20 - Opacity Project: smoothed [number of data pairs]
          21 - Opacity Project: scaled, smoothed [number of data pairs]

 [Reference] photoionization cross-sections for Si\,{\sc ii} were computed as part of the Opacity Project by \cite{MEL95_Al_seq}.

******************************************************************************

04-Sep-1997                             !Date
 1.000D+00 0.000D+00
 1.475D+00 0.000D+00
 1.482D+00 7.832D-05
 1.497D+00 3.736D-03
 1.504D+00 1.785D-02
 1.512D+00 6.340D-02
 1.519D+00 1.850D-01
 1.527D+00 4.224D-01
 1.542D+00 1.234D+00
 1.558D+00 1.919D+00
 1.565D+00 2.057D+00
 1.573D+00 2.093D+00
 1.581D+00 2.069D+00
 1.613D+00 1.852D+00
 1.729D+00 1.203D+00
 1.799D+00 8.920D-01
 1.808D+00 8.984D-01
 1.817D+00 9.477D-01
 1.836D+00 1.120D+00
 1.845D+00 1.169D+00
 1.854D+00 1.154D+00
 1.873D+00 1.001D+00
 1.891D+00 8.487D-01
 1.920D+00 7.287D-01
 1.939D+00 6.864D-01
 1.949D+00 6.749D-01
 1.958D+00 6.703D-01
 1.968D+00 6.722D-01
 1.978D+00 6.772D-01
 1.988D+00 6.804D-01
 1.998D+00 6.764D-01
 2.008D+00 6.608D-01
 2.028D+00 6.060D-01
 2.048D+00 5.513D-01
 2.058D+00 5.324D-01
 2.069D+00 5.223D-01
 2.079D+00 5.237D-01
 2.089D+00 5.430D-01
 2.110D+00 6.234D-01
 2.121D+00 6.503D-01
 2.131D+00 6.395D-01
 2.153D+00 5.414D-01
 2.163D+00 4.963D-01
 2.174D+00 4.713D-01
 2.185D+00 4.635D-01
 2.196D+00 4.718D-01
 2.218D+00 5.270D-01
 2.229D+00 5.572D-01
 2.240D+00 5.690D-01
 2.251D+00 5.606D-01
 2.263D+00 5.417D-01
 2.274D+00 5.266D-01
 2.285D+00 5.196D-01
 2.297D+00 5.150D-01
 2.320D+00 4.984D-01
 2.331D+00 4.926D-01
 2.343D+00 4.924D-01
 2.354D+00 4.984D-01
 2.378D+00 5.186D-01
 2.390D+00 5.256D-01
 2.402D+00 5.279D-01
 2.414D+00 5.279D-01
 2.426D+00 5.278D-01
 2.438D+00 5.283D-01
 2.450D+00 5.292D-01
 2.462D+00 5.313D-01
 2.475D+00 5.372D-01
 2.487D+00 5.496D-01
 2.512D+00 5.980D-01
 2.537D+00 6.456D-01
 2.550D+00 6.532D-01
 2.562D+00 6.495D-01
 2.575D+00 6.400D-01
 2.588D+00 6.327D-01
 2.601D+00 6.321D-01
 2.614D+00 6.348D-01
 2.627D+00 6.348D-01
 2.640D+00 6.242D-01
 2.653D+00 6.071D-01
 2.667D+00 5.920D-01
 2.680D+00 5.844D-01
 2.693D+00 5.819D-01
 2.707D+00 5.804D-01
 2.720D+00 5.799D-01
 2.734D+00 5.841D-01
 2.761D+00 6.089D-01
 2.775D+00 6.226D-01
 2.789D+00 6.324D-01
 2.803D+00 6.384D-01
 2.817D+00 6.416D-01
 2.831D+00 6.430D-01
 2.845D+00 6.432D-01
 2.873D+00 6.426D-01
 2.888D+00 6.426D-01
 2.902D+00 6.432D-01
 2.917D+00 6.444D-01
 2.931D+00 6.452D-01
 2.946D+00 6.444D-01
 2.960D+00 6.411D-01
 3.020D+00 6.101D-01
 3.238D+00 4.950D-01
 3.472D+00 4.017D-01
 3.722D+00 3.258D-01
 3.991D+00 2.643D-01
 4.279D+00 2.145D-01
 4.588D+00 1.740D-01
 4.919D+00 1.412D-01
 5.274D+00 1.145D-01
 5.655D+00 9.292D-02
 6.063D+00 7.539D-02
 6.501D+00 6.117D-02
 6.970D+00 4.962D-02
 7.473D+00 4.026D-02
 8.013D+00 3.267D-02
 8.591D+00 2.650D-02
 9.211D+00 2.150D-02
 9.876D+00 1.745D-02
 1.059D+01 1.415D-02
 1.135D+01 1.148D-02
 1.217D+01 9.315D-03
 1.305D+01 7.558D-03
 1.372D+01 6.508D-03
3s3p2_2De                               !Configuration name
20                                      !Type of cross-section
186                                     !Number of cross-section points
 1.000D+00 5.060D+00
 1.020D+00 4.897D+00
 1.041D+00 4.749D+00
 1.083D+00 4.608D+00
 1.088D+00 4.591D+00
 1.127D+00 4.477D+00
 1.133D+00 4.477D+00
 1.138D+00 4.508D+00
 1.144D+00 4.592D+00
 1.155D+00 4.940D+00
 1.161D+00 5.064D+00
 1.167D+00 5.018D+00
 1.179D+00 4.454D+00
 1.184D+00 4.219D+00
 1.190D+00 4.170D+00
 1.196D+00 4.394D+00
 1.202D+00 4.959D+00
 1.214D+00 7.434D+00
 1.220D+00 8.857D+00
 1.226D+00 9.578D+00
 1.233D+00 8.997D+00
 1.245D+00 5.835D+00
 1.251D+00 5.159D+00
 1.257D+00 5.874D+00
 1.270D+00 9.601D+00
 1.302D+00 1.926D+01
 1.308D+00 2.053D+01
 1.315D+00 2.097D+01
 1.322D+00 2.005D+01
 1.341D+00 1.028D+01
 1.355D+00 3.869D+00
 1.362D+00 2.208D+00
 1.368D+00 1.520D+00
 1.375D+00 1.608D+00
 1.382D+00 2.036D+00
 1.389D+00 2.420D+00
 1.403D+00 2.724D+00
 1.410D+00 3.142D+00
 1.417D+00 4.207D+00
 1.431D+00 8.431D+00
 1.438D+00 1.068D+01
 1.445D+00 1.155D+01
 1.453D+00 1.046D+01
 1.467D+00 4.802D+00
 1.475D+00 2.726D+00
 1.482D+00 1.812D+00
 1.489D+00 2.011D+00
 1.504D+00 4.335D+00
 1.512D+00 5.520D+00
 1.519D+00 5.869D+00
 1.527D+00 5.297D+00
 1.534D+00 4.276D+00
 1.542D+00 3.542D+00
 1.550D+00 3.450D+00
 1.558D+00 3.701D+00
 1.565D+00 3.867D+00
 1.573D+00 3.797D+00
 1.581D+00 3.631D+00
 1.589D+00 3.565D+00
 1.597D+00 3.696D+00
 1.605D+00 4.071D+00
 1.621D+00 5.679D+00
 1.629D+00 6.582D+00
 1.637D+00 7.147D+00
 1.645D+00 7.126D+00
 1.670D+00 4.915D+00
 1.687D+00 3.581D+00
 1.695D+00 3.193D+00
 1.704D+00 2.939D+00
 1.721D+00 2.673D+00
 1.755D+00 2.409D+00
 1.764D+00 2.418D+00
 1.773D+00 2.524D+00
 1.791D+00 3.126D+00
 1.799D+00 3.426D+00
 1.808D+00 3.496D+00
 1.817D+00 3.236D+00
 1.836D+00 2.265D+00
 1.845D+00 1.876D+00
 1.854D+00 1.678D+00
 1.863D+00 1.666D+00
 1.882D+00 1.990D+00
 1.891D+00 2.069D+00
 1.901D+00 1.996D+00
 1.910D+00 1.838D+00
 1.920D+00 1.718D+00
 1.929D+00 1.686D+00
 1.939D+00 1.691D+00
 1.949D+00 1.671D+00
 1.968D+00 1.551D+00
 1.998D+00 1.410D+00
 2.038D+00 1.287D+00
 2.100D+00 1.043D+00
 2.131D+00 9.246D-01
 2.142D+00 9.034D-01
 2.153D+00 8.983D-01
 2.163D+00 9.125D-01
 2.185D+00 9.975D-01
 2.196D+00 1.045D+00
 2.207D+00 1.075D+00
 2.218D+00 1.074D+00
 2.229D+00 1.046D+00
 2.251D+00 9.472D-01
 2.285D+00 8.191D-01
 2.320D+00 7.507D-01
 2.343D+00 7.035D-01
 2.366D+00 6.300D-01
 2.390D+00 5.667D-01
 2.402D+00 5.540D-01
 2.414D+00 5.544D-01
 2.426D+00 5.673D-01
 2.462D+00 6.666D-01
 2.475D+00 6.938D-01
 2.487D+00 6.970D-01
 2.499D+00 6.716D-01
 2.512D+00 6.306D-01
 2.524D+00 5.922D-01
 2.537D+00 5.696D-01
 2.550D+00 5.685D-01
 2.562D+00 5.829D-01
 2.575D+00 6.051D-01
 2.588D+00 6.269D-01
 2.601D+00 6.409D-01
 2.614D+00 6.426D-01
 2.627D+00 6.287D-01
 2.640D+00 6.056D-01
 2.653D+00 5.858D-01
 2.667D+00 5.786D-01
 2.680D+00 5.849D-01
 2.747D+00 6.671D-01
 2.761D+00 6.809D-01
 2.775D+00 6.812D-01
 2.789D+00 6.622D-01
 2.817D+00 5.860D-01
 2.845D+00 5.142D-01
 2.859D+00 4.955D-01
 2.873D+00 4.912D-01
 2.902D+00 5.006D-01
 2.917D+00 5.012D-01
 2.931D+00 4.977D-01
 2.946D+00 4.950D-01
 2.960D+00 4.965D-01
 2.975D+00 5.011D-01
 2.990D+00 5.056D-01
 3.005D+00 5.083D-01
 3.020D+00 5.091D-01
 3.035D+00 5.095D-01
 3.050D+00 5.108D-01
 3.096D+00 5.226D-01
 3.112D+00 5.273D-01
 3.127D+00 5.321D-01
 3.158D+00 5.406D-01
 3.174D+00 5.426D-01
 3.190D+00 5.422D-01
 3.222D+00 5.363D-01
 3.238D+00 5.336D-01
 3.254D+00 5.323D-01
 3.270D+00 5.324D-01
 3.320D+00 5.360D-01
 3.370D+00 5.394D-01
 3.386D+00 5.393D-01
 3.403D+00 5.379D-01
 3.420D+00 5.347D-01
 3.506D+00 5.015D-01
 3.760D+00 4.069D-01
 4.031D+00 3.302D-01
 4.322D+00 2.678D-01
 4.634D+00 2.173D-01
 4.968D+00 1.763D-01
 5.327D+00 1.430D-01
 5.712D+00 1.161D-01
 6.124D+00 9.416D-02
 6.566D+00 7.639D-02
 7.040D+00 6.198D-02
 7.548D+00 5.028D-02
 8.093D+00 4.079D-02
 8.677D+00 3.309D-02
 9.304D+00 2.685D-02
 9.975D+00 2.178D-02
 1.070D+01 1.767D-02
 1.147D+01 1.434D-02
 1.230D+01 1.163D-02
 1.318D+01 9.439D-03
 1.413D+01 7.657D-03
 1.515D+01 6.213D-03
 1.593D+01 5.350D-03
3s2(1S)4s2Se                            !Configuration name
20                                      !Type of cross-section
106                                     !Number of cross-section points
 1.000D+00 1.072D+00
 1.110D+00 3.013D+00
 1.138D+00 4.246D+00
 1.161D+00 6.016D+00
 1.190D+00 1.054D+01
 1.202D+00 1.417D+01
 1.214D+00 2.187D+01
 1.220D+00 2.919D+01
 1.226D+00 4.162D+01
 1.233D+00 6.475D+01
 1.239D+00 1.073D+02
 1.257D+00 4.242D+02
 1.264D+00 5.316D+02
 1.270D+00 5.605D+02
 1.276D+00 5.016D+02
 1.289D+00 2.559D+02
 1.295D+00 1.591D+02
 1.302D+00 9.563D+01
 1.308D+00 5.873D+01
 1.315D+00 3.541D+01
 1.322D+00 2.106D+01
 1.328D+00 1.224D+01
 1.335D+00 7.690D+00
 1.341D+00 5.379D+00
 1.424D+00 6.324D-01
 1.445D+00 1.141D+00
 1.453D+00 1.317D+00
 1.475D+00 7.365D-01
 1.512D+00 2.457D-01
 1.527D+00 2.549D-01
 1.534D+00 2.582D-01
 1.558D+00 1.297D-01
 1.581D+00 4.663D-02
 1.597D+00 5.797D-02
 1.605D+00 6.190D-02
 1.629D+00 4.048D-02
 1.645D+00 3.263D-02
 1.653D+00 3.432D-02
 1.670D+00 3.682D-02
 1.729D+00 3.462D-01
 1.738D+00 4.145D-01
 1.764D+00 2.386D-01
 1.791D+00 1.439D-01
 1.808D+00 9.154D-02
 1.845D+00 3.645D-02
 1.920D+00 1.196D-01
 1.939D+00 1.684D-01
 1.968D+00 1.070D-01
 1.998D+00 6.333D-02
 2.048D+00 3.100D-01
 2.079D+00 4.659D-01
 2.110D+00 2.706D-01
 2.251D+00 1.184D-01
 2.263D+00 1.184D-01
 2.274D+00 1.183D-01
 2.414D+00 2.903D-01
 2.426D+00 3.227D-01
 2.462D+00 2.263D-01
 2.512D+00 1.242D-01
 2.562D+00 1.575D-01
 2.601D+00 1.760D-01
 2.640D+00 1.510D-01
 2.693D+00 1.294D-01
 2.845D+00 3.538D-01
 2.859D+00 4.018D-01
 2.902D+00 2.902D-01
 2.946D+00 2.133D-01
 3.005D+00 3.493D-01
 3.035D+00 4.253D-01
 3.065D+00 3.589D-01
 3.081D+00 3.500D-01
 3.112D+00 4.000D-01
 3.127D+00 4.074D-01
 3.158D+00 3.756D-01
 3.206D+00 4.208D-01
 3.238D+00 4.429D-01
 3.287D+00 3.457D-01
 3.370D+00 2.373D-01
 3.437D+00 2.829D-01
 3.506D+00 3.112D-01
 3.559D+00 3.046D-01
 3.577D+00 3.028D-01
 3.649D+00 3.111D-01
 3.722D+00 3.169D-01
 3.835D+00 2.973D-01
 4.133D+00 2.376D-01
 4.453D+00 1.899D-01
 4.798D+00 1.518D-01
 5.170D+00 1.214D-01
 5.571D+00 9.698D-02
 6.003D+00 7.752D-02
 6.469D+00 6.196D-02
 6.970D+00 4.952D-02
 7.511D+00 3.958D-02
 8.093D+00 3.164D-02
 8.721D+00 2.529D-02
 9.397D+00 2.021D-02
 1.013D+01 1.615D-02
 1.091D+01 1.292D-02
 1.176D+01 1.032D-02
 1.267D+01 8.249D-03
 1.365D+01 6.594D-03
 1.471D+01 5.271D-03
 1.585D+01 4.213D-03
 1.708D+01 3.367D-03
 1.742D+01 3.172D-03
3s3p2_2Se                               !Configuration name
20                                      !Type of cross-section
230                                     !Number of cross-section points
 1.000D+00 1.468D-02
 1.035D+00 1.696D-02
 1.083D+00 1.531D-02
 1.121D+00 1.403D-02
 1.196D+00 9.939D-02
 1.202D+00 2.291D-01
 1.208D+00 6.839D-01
 1.214D+00 2.015D+00
 1.220D+00 5.417D+00
 1.233D+00 2.087D+01
 1.239D+00 2.956D+01
 1.245D+00 3.320D+01
 1.251D+00 3.016D+01
 1.264D+00 1.350D+01
 1.270D+00 7.378D+00
 1.276D+00 4.030D+00
 1.283D+00 2.814D+00
 1.289D+00 2.669D+00
 1.295D+00 3.268D+00
 1.302D+00 4.576D+00
 1.322D+00 1.335D+01
 1.328D+00 1.579D+01
 1.335D+00 1.596D+01
 1.341D+00 1.385D+01
 1.348D+00 1.033D+01
 1.355D+00 6.993D+00
 1.362D+00 5.134D+00
 1.368D+00 4.985D+00
 1.375D+00 6.055D+00
 1.382D+00 7.070D+00
 1.389D+00 6.954D+00
 1.403D+00 3.876D+00
 1.410D+00 2.308D+00
 1.417D+00 1.327D+00
 1.424D+00 7.968D-01
 1.431D+00 5.501D-01
 1.438D+00 4.191D-01
 1.453D+00 2.894D-01
 1.460D+00 2.536D-01
 1.467D+00 2.319D-01
 1.475D+00 2.262D-01
 1.482D+00 2.312D-01
 1.489D+00 2.340D-01
 1.497D+00 2.182D-01
 1.512D+00 1.265D-01
 1.519D+00 9.773D-02
 1.527D+00 1.323D-01
 1.534D+00 2.992D-01
 1.550D+00 1.106D+00
 1.558D+00 1.515D+00
 1.565D+00 1.634D+00
 1.573D+00 1.482D+00
 1.581D+00 1.388D+00
 1.589D+00 1.885D+00
 1.597D+00 3.468D+00
 1.605D+00 5.925D+00
 1.613D+00 8.339D+00
 1.621D+00 9.703D+00
 1.629D+00 1.032D+01
 1.637D+00 1.279D+01
 1.645D+00 2.108D+01
 1.662D+00 5.246D+01
 1.670D+00 6.155D+01
 1.678D+00 5.635D+01
 1.695D+00 2.339D+01
 1.704D+00 1.075D+01
 1.712D+00 4.851D+00
 1.721D+00 3.419D+00
 1.729D+00 4.773D+00
 1.746D+00 1.153D+01
 1.755D+00 1.524D+01
 1.764D+00 1.683D+01
 1.773D+00 1.539D+01
 1.782D+00 1.174D+01
 1.791D+00 8.334D+00
 1.799D+00 7.079D+00
 1.808D+00 7.779D+00
 1.817D+00 9.142D+00
 1.827D+00 9.842D+00
 1.845D+00 9.364D+00
 1.854D+00 9.552D+00
 1.873D+00 1.058D+01
 1.882D+00 1.170D+01
 1.901D+00 1.735D+01
 1.910D+00 2.005D+01
 1.920D+00 2.077D+01
 1.929D+00 1.920D+01
 1.939D+00 1.680D+01
 1.949D+00 1.539D+01
 1.958D+00 1.576D+01
 1.968D+00 1.741D+01
 1.978D+00 1.870D+01
 1.988D+00 1.831D+01
 2.008D+00 1.390D+01
 2.018D+00 1.183D+01
 2.028D+00 1.053D+01
 2.038D+00 9.753D+00
 2.089D+00 7.993D+00
 2.110D+00 7.527D+00
 2.121D+00 7.387D+00
 2.131D+00 7.376D+00
 2.142D+00 7.526D+00
 2.163D+00 8.225D+00
 2.174D+00 8.556D+00
 2.185D+00 8.680D+00
 2.196D+00 8.427D+00
 2.218D+00 7.024D+00
 2.240D+00 5.754D+00
 2.251D+00 5.450D+00
 2.263D+00 5.382D+00
 2.274D+00 5.502D+00
 2.285D+00 5.702D+00
 2.297D+00 5.755D+00
 2.308D+00 5.433D+00
 2.320D+00 4.801D+00
 2.331D+00 4.202D+00
 2.343D+00 3.997D+00
 2.366D+00 4.664D+00
 2.378D+00 4.769D+00
 2.390D+00 4.497D+00
 2.402D+00 4.037D+00
 2.414D+00 3.644D+00
 2.426D+00 3.422D+00
 2.450D+00 3.234D+00
 2.475D+00 2.954D+00
 2.499D+00 2.529D+00
 2.524D+00 2.140D+00
 2.537D+00 2.030D+00
 2.550D+00 2.038D+00
 2.562D+00 2.176D+00
 2.588D+00 2.669D+00
 2.601D+00 2.827D+00
 2.614D+00 2.856D+00
 2.627D+00 2.763D+00
 2.667D+00 2.190D+00
 2.693D+00 1.825D+00
 2.707D+00 1.701D+00
 2.720D+00 1.640D+00
 2.734D+00 1.652D+00
 2.761D+00 1.790D+00
 2.775D+00 1.840D+00
 2.789D+00 1.837D+00
 2.803D+00 1.787D+00
 2.831D+00 1.618D+00
 2.845D+00 1.530D+00
 2.873D+00 1.343D+00
 2.888D+00 1.246D+00
 2.902D+00 1.184D+00
 2.917D+00 1.182D+00
 2.946D+00 1.305D+00
 2.960D+00 1.328D+00
 2.975D+00 1.283D+00
 3.005D+00 1.028D+00
 3.035D+00 7.752D-01
 3.050D+00 7.035D-01
 3.065D+00 6.608D-01
 3.081D+00 6.411D-01
 3.096D+00 6.362D-01
 3.112D+00 6.392D-01
 3.127D+00 6.361D-01
 3.158D+00 5.977D-01
 3.174D+00 5.777D-01
 3.190D+00 5.656D-01
 3.206D+00 5.591D-01
 3.238D+00 5.430D-01
 3.270D+00 5.281D-01
 3.303D+00 5.175D-01
 3.320D+00 5.149D-01
 3.336D+00 5.204D-01
 3.353D+00 5.369D-01
 3.386D+00 5.970D-01
 3.403D+00 6.234D-01
 3.420D+00 6.304D-01
 3.437D+00 6.088D-01
 3.455D+00 5.696D-01
 3.472D+00 5.351D-01
 3.489D+00 5.239D-01
 3.506D+00 5.404D-01
 3.524D+00 5.677D-01
 3.542D+00 5.877D-01
 3.559D+00 5.935D-01
 3.577D+00 5.905D-01
 3.595D+00 5.910D-01
 3.613D+00 5.988D-01
 3.631D+00 6.018D-01
 3.649D+00 5.837D-01
 3.667D+00 5.481D-01
 3.685D+00 5.181D-01
 3.704D+00 5.130D-01
 3.741D+00 5.623D-01
 3.760D+00 5.818D-01
 3.778D+00 5.886D-01
 3.797D+00 5.865D-01
 3.816D+00 5.829D-01
 3.835D+00 5.826D-01
 3.854D+00 5.862D-01
 3.874D+00 5.920D-01
 3.893D+00 5.973D-01
 3.912D+00 5.986D-01
 3.932D+00 5.931D-01
 3.971D+00 5.642D-01
 3.991D+00 5.535D-01
 4.011D+00 5.519D-01
 4.051D+00 5.658D-01
 4.071D+00 5.738D-01
 4.133D+00 6.161D-01
 4.237D+00 6.841D-01
 4.279D+00 7.010D-01
 4.301D+00 7.037D-01
 4.322D+00 7.015D-01
 4.409D+00 6.681D-01
 4.774D+00 5.262D-01
 5.170D+00 4.143D-01
 5.599D+00 3.263D-01
 6.063D+00 2.569D-01
 6.566D+00 2.023D-01
 7.110D+00 1.593D-01
 7.700D+00 1.255D-01
 8.338D+00 9.877D-02
 9.030D+00 7.778D-02
 9.779D+00 6.125D-02
 1.059D+01 4.823D-02
 1.147D+01 3.798D-02
 1.242D+01 2.990D-02
 1.345D+01 2.355D-02
 1.456D+01 1.854D-02
 1.577D+01 1.460D-02
 1.708D+01 1.149D-02
 1.849D+01 9.054D-03
 2.003D+01 7.128D-03
3s2(1S)3d2De                            !Configuration name
20                                      !Type of cross-section
154                                     !Number of cross-section points
 1.000D+00 1.697D-02
 1.110D+00 9.413D-01
 1.161D+00 2.451D+00
 1.190D+00 3.986D+00
 1.220D+00 6.464D+00
 1.257D+00 1.214D+01
 1.289D+00 2.149D+01
 1.308D+00 3.224D+01
 1.335D+00 5.992D+01
 1.362D+00 1.052D+02
 1.375D+00 1.250D+02
 1.382D+00 1.282D+02
 1.389D+00 1.241D+02
 1.396D+00 1.130D+02
 1.410D+00 7.523D+01
 1.431D+00 2.346D+01
 1.438D+00 1.484D+01
 1.445D+00 1.211D+01
 1.453D+00 1.531D+01
 1.460D+00 2.526D+01
 1.482D+00 8.342D+01
 1.489D+00 1.020D+02
 1.497D+00 1.144D+02
 1.504D+00 1.184D+02
 1.512D+00 1.151D+02
 1.527D+00 9.530D+01
 1.534D+00 8.528D+01
 1.542D+00 7.977D+01
 1.550D+00 8.322D+01
 1.565D+00 1.124D+02
 1.573D+00 1.207D+02
 1.581D+00 1.112D+02
 1.597D+00 5.995D+01
 1.605D+00 3.846D+01
 1.613D+00 2.641D+01
 1.621D+00 2.066D+01
 1.629D+00 1.861D+01
 1.637D+00 1.876D+01
 1.645D+00 2.196D+01
 1.662D+00 3.595D+01
 1.670D+00 4.095D+01
 1.678D+00 4.041D+01
 1.695D+00 2.840D+01
 1.712D+00 1.736D+01
 1.721D+00 1.419D+01
 1.729D+00 1.232D+01
 1.738D+00 1.156D+01
 1.746D+00 1.226D+01
 1.764D+00 1.699D+01
 1.773D+00 1.873D+01
 1.782D+00 1.827D+01
 1.799D+00 1.324D+01
 1.808D+00 1.136D+01
 1.817D+00 1.098D+01
 1.836D+00 1.210D+01
 1.845D+00 1.200D+01
 1.863D+00 1.055D+01
 1.882D+00 9.728D+00
 1.891D+00 9.352D+00
 1.901D+00 9.140D+00
 1.910D+00 9.328D+00
 1.920D+00 9.706D+00
 1.929D+00 9.712D+00
 1.939D+00 8.953D+00
