
********************************************************************************

    Energy Levels and statistical weights for O2        

    Data is from the Opacity Project
    Maximum energy included = Ionization energy =>   285641.
    Data is from NIST
    Maximum energy included = Ionization energy =>   283271.
    Packed according to J states by pack.f
    Data from the Opacity Project rewritten with NIST energies
    66 energies from NIST included
    153 energies from the Opacity Project scaled by  0.9927: 
    Oscillator strengths scaled to conserve (g*f)/(h*nu)
    Split using NIST energy levels and REWRITE_OSC_V2
    Kurucz data used when available.

 Config           Statistical   Energy   Ionization  Frequency  Wavelength
                    Weight      (cm^-1)  Energy(eV)  (Hz 10^15) (Angstroms)
********************************************************************************

29-Sep-2000                                      !Date
296                                              !Number of energy levels
283270.9000                                      !Ionization energy
2.0                                              !Screened nuclear charge
6861                                             !Number of transitions

2s2_2p2(3Pe)4d_2Pe[1/2]-2s2_2p2(3Pe)5p_2Po[1/2]    9.6997E-02  3.1747E+06   14271.840     100- 130     4004
2s2_2p2(1De)3d_2Se[1/2]-2s2_2p2(3Pe)5p_2Po[1/2]    1.4667E-03  4.3447E+04   15001.858     107- 130     4218
2s2_2p2(3Pe)4d_2De[3/2]-2s2_2p2(3Pe)5p_2Po[1/2]    1.7598E-01  9.7484E+06   15514.289     110- 130     4284
2s2_2p2(3Pe)5s_2Pe[1/2]-2s2_2p2(3Pe)5p_2Po[1/2]    3.4147E-01  3.4211E+06   25795.685     115- 130     4435
2s2_2p2(3Pe)5s_2Pe[3/2]-2s2_2p2(3Pe)5p_2Po[1/2]    8.1071E-02  1.4650E+06   27163.032     116- 130     4470
2s2_2p2(1De)4s_2De[3/2]-2s2_2p2(3Pe)5p_2Po[1/2]    4.4810E-03  5.3756E+04   33338.135     118- 130     4533
2s_2p4_2De[5/2]        -2s2_2p2(3Pe)5p_2Po[3/2]    3.4702E-08  3.2252E+02    1037.564       9- 131      512
2s_2p4_2De[3/2]        -2s2_2p2(3Pe)5p_2Po[3/2]    5.7832E-09  3.5827E+01    1037.651      10- 131      562
2s2_2p2(3Pe)3s_2Pe[1/2]-2s2_2p2(3Pe)5p_2Po[3/2]    1.5288E-05  2.7529E+04    1360.924      14- 131      749
2s2_2p2(3Pe)3s_2Pe[3/2]-2s2_2p2(3Pe)5p_2Po[3/2]    3.8126E-05  1.3664E+05    1364.265      15- 131      802
2s_2p4_2Se[1/2]        -2s2_2p2(3Pe)5p_2Po[3/2]    8.5061E-04  1.2605E+06    1500.204      16- 131      839
2s2_2p2(1De)3s_2De[5/2]-2s2_2p2(3Pe)5p_2Po[3/2]    1.9836E-03  6.0905E+06    1805.172      21- 131     1067
2s2_2p2(1De)3s_2De[3/2]-2s2_2p2(3Pe)5p_2Po[3/2]    3.3059E-04  6.7667E+05    1805.206      22- 131     1117
2s_2p4_2Pe[3/2]        -2s2_2p2(3Pe)5p_2Po[3/2]    1.1311E-03  1.8692E+06    2008.422      30- 131     1497
2s_2p4_2Pe[1/2]        -2s2_2p2(3Pe)5p_2Po[3/2]    4.5089E-04  3.7004E+05    2015.243      31- 131     1540
2s2_2p2(1Se)3s_2Se[1/2]-2s2_2p2(3Pe)5p_2Po[3/2]    1.9371E-02  6.5161E+06    3147.842      38- 131     1858
2s2_2p2(3Pe)3d_2Pe[3/2]-2s2_2p2(3Pe)5p_2Po[3/2]    1.0029E-02  5.6017E+06    3454.731      54- 131     2467
2s2_2p2(3Pe)3d_2Pe[1/2]-2s2_2p2(3Pe)5p_2Po[3/2]    3.9959E-03  1.1072E+06    3468.403      55- 131     2505
2s2_2p2(3Pe)3d_2De[3/2]-2s2_2p2(3Pe)5p_2Po[3/2]    1.6239E-03  8.4711E+05    3574.845      56- 131     2547
2s2_2p2(3Pe)3d_2De[5/2]-2s2_2p2(3Pe)5p_2Po[3/2]    9.7251E-03  7.5815E+06    3581.484      57- 131     2591
2s2_2p2(3Pe)4s_2Pe[1/2]-2s2_2p2(3Pe)5p_2Po[3/2]    1.6015E-05  2.5941E+03    4536.337      61- 131     2745
2s2_2p2(3Pe)4s_2Pe[3/2]-2s2_2p2(3Pe)5p_2Po[3/2]    3.9698E-05  1.2643E+04    4575.230      62- 131     2787
2s2_2p2(1De)3d_2De[3/2]-2s2_2p2(3Pe)5p_2Po[3/2]    1.0287E-03  5.9619E+04   10725.168      83- 131     3500
2s2_2p2(1De)3d_2De[5/2]-2s2_2p2(3Pe)5p_2Po[3/2]    6.1709E-03  5.3622E+05   10727.561      84- 131     3534
2s2_2p2(1De)3d_2Pe[1/2]-2s2_2p2(3Pe)5p_2Po[3/2]    1.4400E-02  3.5339E+05   11654.457      85- 131     3568
2s2_2p2(1De)3d_2Pe[3/2]-2s2_2p2(3Pe)5p_2Po[3/2]    3.5989E-02  1.7654E+06   11657.732      86- 131     3600
2s2_2p2(3Pe)4d_2Pe[3/2]-2s2_2p2(3Pe)5p_2Po[3/2]    1.2453E-01  4.2995E+06   13895.765      99- 131     3973
2s2_2p2(3Pe)4d_2Pe[1/2]-2s2_2p2(3Pe)5p_2Po[3/2]    4.9061E-02  8.2161E+05   14108.238     100- 131     4005
2s2_2p2(1De)3d_2Se[1/2]-2s2_2p2(3Pe)5p_2Po[3/2]    2.9692E-03  4.5055E+04   14821.197     107- 131     4219
2s2_2p2(3Pe)4d_2De[3/2]-2s2_2p2(3Pe)5p_2Po[3/2]    3.5640E-02  1.0122E+06   15321.155     110- 131     4285
2s2_2p2(3Pe)4d_2De[5/2]-2s2_2p2(3Pe)5p_2Po[3/2]    2.1205E-01  8.8826E+06   15450.630     111- 131     4317
2s2_2p2(3Pe)5s_2Pe[1/2]-2s2_2p2(3Pe)5p_2Po[3/2]    1.7432E-01  9.1022E+05   25266.118     115- 131     4436
2s2_2p2(3Pe)5s_2Pe[3/2]-2s2_2p2(3Pe)5p_2Po[3/2]    4.1430E-01  3.9104E+06   26576.475     116- 131     4471
2s2_2p2(1De)4s_2De[5/2]-2s2_2p2(3Pe)5p_2Po[3/2]    5.5237E-03  5.2443E+04   32454.043     117- 131     4501
2s2_2p2(1De)4s_2De[3/2]-2s2_2p2(3Pe)5p_2Po[3/2]    9.2048E-04  5.8244E+03   32458.890     118- 131     4534
2s2_2p2(3Pe)3p_4Do[1/2]-2s2_2p2(3Pe)5d_4Fe         4.5732E-03  7.3591E+05    1720.702      18- 132      902
2s2_2p2(3Pe)3p_4Do[3/2]-2s2_2p2(3Pe)5d_4Fe         4.5732E-03  1.4690E+06    1722.347      19- 132      958
2s2_2p2(3Pe)3p_4Do[5/2]-2s2_2p2(3Pe)5d_4Fe         4.5732E-03  2.1966E+06    1725.068      20- 132     1017
2s2_2p2(3Pe)3p_4Do[7/2]-2s2_2p2(3Pe)5d_4Fe         4.5732E-03  2.9162E+06    1728.785      23- 132     1164
2s2_2p2(3Pe)4p_4Do[1/2]-2s2_2p2(3Pe)5d_4Fe         2.1159E-03  3.6693E+04    5240.120      65- 132     2850
2s2_2p2(3Pe)4p_4Do[3/2]-2s2_2p2(3Pe)5d_4Fe         2.1159E-03  7.3015E+04    5253.429      66- 132     2898
2s2_2p2(3Pe)4p_4Do[5/2]-2s2_2p2(3Pe)5d_4Fe         2.1159E-03  1.0853E+05    5277.424      67- 132     2950
2s2_2p2(3Pe)4p_4Do[7/2]-2s2_2p2(3Pe)5d_4Fe         2.1159E-03  1.4279E+05    5312.782      68- 132     2995
2s2_2p2(3Pe)4f_4Do     -2s2_2p2(3Pe)5d_4Fe         1.5312E-05  6.4103E+02   10665.063     103- 132     4109
2s2_2p2(3Pe)4f_4Go     -2s2_2p2(3Pe)5d_4Fe         2.4289E-02  1.8052E+06   10738.926     105- 132     4182
2s2_2p2(3Pe)4f_4Fo     -2s2_2p2(3Pe)5d_4Fe         3.4288E-03  1.9006E+05   10966.782     108- 132     4228
2s2_2p2(3Pe)5p_4Do[1/2]-2s2_2p2(3Pe)5d_4Fe         1.2176E+00  8.9810E+05   25408.411     120- 132     4577
2s2_2p2(3Pe)5p_4Do[3/2]-2s2_2p2(3Pe)5d_4Fe         1.2176E+00  1.7539E+06   25713.341     121- 132     4607
2s2_2p2(3Pe)5p_4Do[5/2]-2s2_2p2(3Pe)5d_4Fe         1.2176E+00  2.5165E+06   26290.893     122- 132     4640
2s2_2p2(3Pe)5p_4Do[7/2]-2s2_2p2(3Pe)5d_4Fe         1.2176E+00  3.1186E+06   27270.240     123- 132     4672
2s2_2p3_2Do[5/2]       -2s2_2p2(3Pe)5d_2Pe         3.8181E-03  1.4469E+08     419.540       2- 133      124
2s2_2p3_2Do[3/2]       -2s2_2p2(3Pe)5d_2Pe         3.8181E-03  9.6445E+07     419.575       3- 133      216
2s2_2p3_2Po[3/2]       -2s2_2p2(3Pe)5d_2Pe         1.6151E-02  3.6262E+08     445.040       4- 133      297
2s2_2p3_2Po[1/2]       -2s2_2p2(3Pe)5d_2Pe         1.6151E-02  1.8131E+08     445.044       5- 133      351
2s2_2p2(3Pe)3p_2So[1/2]-2s2_2p2(3Pe)5d_2Pe         7.2134E-04  6.0119E+05    1633.329      17- 133      871
2s2_2p2(3Pe)3p_2Do[3/2]-2s2_2p2(3Pe)5d_2Pe         2.9077E-04  3.7210E+05    1864.113      27- 133     1344
2s2_2p2(3Pe)3p_2Do[5/2]-2s2_2p2(3Pe)5d_2Pe         2.9077E-04  5.5419E+05    1870.760      28- 133     1405
2s2_2p2(3Pe)3p_2Po[1/2]-2s2_2p2(3Pe)5d_2Pe         3.5662E-03  2.0621E+06    1960.899      32- 133     1586
2s2_2p2(3Pe)3p_2Po[3/2]-2s2_2p2(3Pe)5d_2Pe         3.5662E-03  4.1146E+06    1963.199      33- 133     1633
2s2_2p2(1De)3p_2Do[5/2]-2s2_2p2(3Pe)5d_2Pe         3.3708E-04  2.7890E+05    2838.471      36- 133     1759
2s2_2p2(1De)3p_2Do[3/2]-2s2_2p2(3Pe)5d_2Pe         3.3708E-04  1.8571E+05    2840.195      37- 133     1815
2s2_2p2(1De)3p_2Po[1/2]-2s2_2p2(3Pe)5d_2Pe         1.8283E-03  4.3431E+05    3058.477      44- 133     2070
2s2_2p2(1De)3p_2Po[3/2]-2s2_2p2(3Pe)5d_2Pe         1.8283E-03  8.6615E+05    3062.849      45- 133     2123
2s2_2p2(3Pe)4p_2So[1/2]-2s2_2p2(3Pe)5d_2Pe         1.7310E-02  1.5595E+06    4966.409      63- 133     2821
2s2_2p2(3Pe)4p_2Do[3/2]-2s2_2p2(3Pe)5d_2Pe         5.1362E-04  6.7230E+04    5827.006      73- 133     3146
2s2_2p2(3Pe)4p_2Do[5/2]-2s2_2p2(3Pe)5d_2Pe         5.1362E-04  9.8781E+04    5887.544      74- 133     3198
2s2_2p2(3Pe)4p_2Po[1/2]-2s2_2p2(3Pe)5d_2Pe         4.4258E-04  2.7577E+04    5971.871      75- 133     3246
2s2_2p2(3Pe)4p_2Po[3/2]-2s2_2p2(3Pe)5d_2Pe         4.4258E-04  5.4570E+04    6003.750      76- 133     3289
2s2_2p2(1Se)3p_2Po[1/2]-2s2_2p2(3Pe)5d_2Pe         1.5531E-02  5.1226E+05    8208.117      81- 133     3437
2s2_2p2(1Se)3p_2Po[3/2]-2s2_2p2(3Pe)5d_2Pe         1.5531E-02  1.0235E+06    8212.270      82- 133     3472
2s2_2p2(3Pe)4f_2Do     -2s2_2p2(3Pe)5d_2Pe         1.2895E-02  1.3469E+06   10313.698     104- 133     4148
2s2_2p2(3Pe)5p_2So[1/2]-2s2_2p2(3Pe)5d_2Pe         1.2572E+00  5.6119E+06   22311.982     119- 133     4564
2s2_2p2(3Pe)5p_2Do[3/2]-2s2_2p2(3Pe)5d_2Pe         1.2347E-04  6.6042E+02   28825.587     128- 133     4776
2s2_2p2(3Pe)5p_2Do[5/2]-2s2_2p2(3Pe)5d_2Pe         1.2347E-04  8.9525E+02   30322.296     129- 133     4810
2s2_2p2(3Pe)5p_2Po[1/2]-2s2_2p2(3Pe)5d_2Pe         4.2207E-01  7.7844E+05   34711.260     130- 133     4843
2s2_2p2(3Pe)5p_2Po[3/2]-2s2_2p2(3Pe)5d_2Pe         4.2207E-01  1.4703E+06   35718.657     131- 133     4865
2s2_2p3_4So[3/2]       -2s2_2p2(3Pe)5d_4De[5/2]    9.0770E-03  2.8393E+08     377.045       1- 134       59
2s2_2p3_2Do[5/2]       -2s2_2p2(3Pe)5d_4De[5/2]    1.0043E-03  3.8075E+07     419.446       2- 134      125
2s2_2p3_2Do[3/2]       -2s2_2p2(3Pe)5d_4De[5/2]    5.5968E-03  1.4144E+08     419.481       3- 134      217
2s2_2p3_2Po[3/2]       -2s2_2p2(3Pe)5d_4De[5/2]    4.1490E-03  9.3196E+07     444.934       4- 134      298
2s2_2p2(3Pe)3p_2So[1/2]-2s2_2p2(3Pe)5d_4De[5/2]    1.4420E-05  1.2039E+04    1631.907      17- 134      872
2s2_2p2(3Pe)3p_4Do[3/2]-2s2_2p2(3Pe)5d_4De[5/2]    1.1693E-05  1.7755E+04    1711.332      19- 134      959
2s2_2p2(3Pe)3p_4Do[5/2]-2s2_2p2(3Pe)5d_4De[5/2]    4.4859E-06  1.0185E+04    1714.018      20- 134     1018
2s2_2p2(3Pe)3p_4Do[7/2]-2s2_2p2(3Pe)5d_4De[5/2]    4.3999E-05  1.3263E+05    1717.687      23- 134     1165
2s2_2p2(3Pe)3p_4Po[1/2]-2s2_2p2(3Pe)5d_4De[5/2]    4.5601E-05  3.2796E+04    1758.267      24- 134     1212
2s2_2p2(3Pe)3p_4Po[3/2]-2s2_2p2(3Pe)5d_4De[5/2]    1.1693E-04  1.6793E+05    1759.695      25- 134     1254
2s2_2p2(3Pe)3p_4Po[5/2]-2s2_2p2(3Pe)5d_4De[5/2]    3.5633E-05  7.6508E+04    1762.546      26- 134     1295
2s2_2p2(3Pe)3p_2Do[3/2]-2s2_2p2(3Pe)5d_4De[5/2]    1.8533E-04  2.3763E+05    1862.260      27- 134     1345
2s2_2p2(3Pe)3p_2Do[5/2]-2s2_2p2(3Pe)5d_4De[5/2]    2.8963E-06  5.5312E+03    1868.894      28- 134     1406
2s2_2p2(3Pe)3p_4So[3/2]-2s2_2p2(3Pe)5d_4De[5/2]    7.0460E-04  8.8206E+05    1884.715      29- 134     1462
2s2_2p2(3Pe)3p_2Po[1/2]-2s2_2p2(3Pe)5d_4De[5/2]    8.8914E-06  5.1521E+03    1958.849      32- 134     1587
2s2_2p2(3Pe)3p_2Po[3/2]-2s2_2p2(3Pe)5d_4De[5/2]    6.2797E-05  7.2606E+04    1961.145      33- 134     1634
2s2_2p2(1De)3p_2Do[5/2]-2s2_2p2(3Pe)5d_4De[5/2]    3.5633E-05  2.9572E+04    2834.177      36- 134     1760
2s2_2p2(1De)3p_2Do[3/2]-2s2_2p2(3Pe)5d_4De[5/2]    7.3780E-06  4.0771E+03    2835.896      37- 134     1816
2s2_2p2(1De)3p_2Po[1/2]-2s2_2p2(3Pe)5d_4De[5/2]    5.1165E-06  1.2194E+03    3053.493      44- 134     2071
2s2_2p2(1De)3p_2Po[3/2]-2s2_2p2(3Pe)5d_4De[5/2]    1.4059E-04  6.6820E+04    3057.850      45- 134     2124
2s2_2p2(3Pe)4p_4Do[3/2]-2s2_2p2(3Pe)5d_4De[5/2]    4.8457E-04  8.1128E+04    5152.247      66- 134     2899
2s2_2p2(3Pe)4p_4Do[5/2]-2s2_2p2(3Pe)5d_4De[5/2]    7.9416E-04  1.9767E+05    5175.325      67- 134     2951
2s2_2p2(3Pe)4p_4Do[7/2]-2s2_2p2(3Pe)5d_4De[5/2]    1.9562E-04  6.4075E+04    5209.324      68- 134     2996
2s2_2p2(3Pe)4p_4Po[5/2]-2s2_2p2(3Pe)5d_4De[5/2]    6.5961E-04  1.5492E+05    5327.681      71- 134     3077
2s2_2p2(3Pe)4p_4Po[3/2]-2s2_2p2(3Pe)5d_4De[5/2]    2.3052E-03  3.5988E+05    5335.554      72- 134     3106
2s2_2p2(3Pe)4f_4Do     -2s2_2p2(3Pe)5d_4De[5/2]    6.6594E-04  1.4068E+05   10256.176     103- 134     4110
2s2_2p2(3Pe)4f_4Fo     -2s2_2p2(3Pe)5d_4De[5/2]    5.4912E-03  1.5393E+06   10534.902     108- 134     4229
2s2_2p2(3Pe)5p_4Do[3/2]-2s2_2p2(3Pe)5d_4De[5/2]    8.3292E-02  6.7269E+05   23458.523     121- 134     4608
2s2_2p2(3Pe)5p_4Do[5/2]-2s2_2p2(3Pe)5d_4De[5/2]    1.3437E-01  1.5632E+06   23938.280     122- 134     4641
2s2_2p2(3Pe)5p_4Do[7/2]-2s2_2p2(3Pe)5d_4De[5/2]    3.2226E-02  4.6772E+05   24747.500     123- 134     4673
2s2_2p2(3Pe)5p_4Po[3/2]-2s2_2p2(3Pe)5d_4De[5/2]    7.2220E-01  5.0336E+06   25251.950     125- 134     4720
2s2_2p2(3Pe)5p_4Po[5/2]-2s2_2p2(3Pe)5d_4De[5/2]    2.0141E-01  2.0061E+06   25870.983     126- 134     4741
2s2_2p3_2Do[5/2]       -2s2_2p2(3Pe)5d_2Fe         2.7642E-02  4.4931E+08     419.366       2- 135      126
2s2_2p3_2Do[3/2]       -2s2_2p2(3Pe)5d_2Fe         2.7642E-02  2.9949E+08     419.401       3- 135      218
2s2_2p2(3Pe)3p_2Do[3/2]-2s2_2p2(3Pe)5d_2Fe         7.4052E-03  4.0763E+06    1860.688      27- 135     1346
2s2_2p2(3Pe)3p_2Do[5/2]-2s2_2p2(3Pe)5d_2Fe         7.4052E-03  6.0711E+06    1867.311      28- 135     1407
2s2_2p2(1De)3p_2Fo[5/2]-2s2_2p2(3Pe)5d_2Fe         7.1028E-04  2.7113E+05    2735.780      34- 135     1673
2s2_2p2(1De)3p_2Fo[7/2]-2s2_2p2(3Pe)5d_2Fe         7.1028E-04  3.6104E+05    2737.549      35- 135     1713
2s2_2p2(1De)3p_2Do[5/2]-2s2_2p2(3Pe)5d_2Fe         4.1878E-03  1.4933E+06    2830.537      36- 135     1761
2s2_2p2(1De)3p_2Do[3/2]-2s2_2p2(3Pe)5d_2Fe         4.1878E-03  9.9435E+05    2832.250      37- 135     1817
2s2_2p2(3Pe)4p_2Do[3/2]-2s2_2p2(3Pe)5d_2Fe         1.2742E-04  7.2304E+03    5793.668      73- 135     3147
2s2_2p2(3Pe)4p_2Do[5/2]-2s2_2p2(3Pe)5d_2Fe         1.2742E-04  1.0625E+04    5853.511      74- 135     3199
2s2_2p2(3Pe)4f_2Do     -2s2_2p2(3Pe)5d_2Fe         1.9544E-04  8.9282E+03   10209.712     104- 135     4149
2s2_2p2(3Pe)4f_2Go     -2s2_2p2(3Pe)5d_2Fe         1.3992E-02  1.1331E+06   10288.036     106- 135     4199
2s2_2p2(3Pe)4f_2Fo     -2s2_2p2(3Pe)5d_2Fe         1.9573E-03  1.1837E+05   10499.196     109- 135     4255
2s2_2p2(3Pe)5p_2Do[3/2]-2s2_2p2(3Pe)5d_2Fe         1.1622E+00  2.8180E+06   28027.754     128- 135     4777
2s2_2p2(3Pe)5p_2Do[5/2]-2s2_2p2(3Pe)5d_2Fe         1.1622E+00  3.8310E+06   29440.727     129- 135     4811
2s2_2p3_4So[3/2]       -2s2_2p2(3Pe)5d_4Pe[5/2]    4.6552E-05  1.4585E+06     376.745       1- 136       60
2s2_2p3_2Do[5/2]       -2s2_2p2(3Pe)5d_4Pe[5/2]    2.5814E-03  9.8041E+07     419.075       2- 136      127
2s2_2p3_2Do[3/2]       -2s2_2p2(3Pe)5d_4Pe[5/2]    1.2244E-02  3.0998E+08     419.110       3- 136      219
2s2_2p3_2Po[3/2]       -2s2_2p2(3Pe)5d_4Pe[5/2]    5.3449E-03  1.2029E+08     444.517       4- 136      299
2s2_2p2(3Pe)3p_4Do[3/2]-2s2_2p2(3Pe)5d_4Pe[5/2]    1.0913E-04  1.6690E+05    1705.169      19- 136      960
2s2_2p2(3Pe)3p_4Do[5/2]-2s2_2p2(3Pe)5d_4Pe[5/2]    3.6463E-05  8.3387E+04    1707.836      20- 136     1019
2s2_2p2(3Pe)3p_4Do[7/2]-2s2_2p2(3Pe)5d_4Pe[5/2]    1.7657E-06  5.3610E+03    1711.478      23- 136     1166
2s2_2p2(3Pe)3p_4Po[3/2]-2s2_2p2(3Pe)5d_4Pe[5/2]    1.5064E-05  2.1794E+04    1753.179      25- 136     1255
2s2_2p2(3Pe)3p_4Po[5/2]-2s2_2p2(3Pe)5d_4Pe[5/2]    3.4822E-06  7.5325E+03    1756.010      26- 136     1296
2s2_2p2(3Pe)3p_2Do[3/2]-2s2_2p2(3Pe)5d_4Pe[5/2]    9.0770E-06  1.1731E+04    1854.965      27- 136     1347
2s2_2p2(3Pe)3p_2Do[5/2]-2s2_2p2(3Pe)5d_4Pe[5/2]    2.4652E-05  4.7451E+04    1861.547      28- 136     1408
2s2_2p2(3Pe)3p_4So[3/2]-2s2_2p2(3Pe)5d_4Pe[5/2]    2.5582E-06  3.2281E+03    1877.243      29- 136     1463
2s2_2p2(3Pe)3p_2Po[3/2]-2s2_2p2(3Pe)5d_4Pe[5/2]    6.1368E-04  7.1542E+05    1953.055      33- 136     1635
2s2_2p2(1De)3p_2Fo[5/2]-2s2_2p2(3Pe)5d_4Pe[5/2]    6.4841E-05  5.8278E+04    2723.420      34- 136     1674
2s2_2p2(1De)3p_2Do[5/2]-2s2_2p2(3Pe)5d_4Pe[5/2]    3.1035E-06  2.6065E+03    2817.308      36- 136     1762
2s2_2p2(1De)3p_2Do[3/2]-2s2_2p2(3Pe)5d_4Pe[5/2]    2.3331E-04  1.3048E+05    2819.006      37- 136     1818
2s2_2p2(1De)3p_2Po[3/2]-2s2_2p2(3Pe)5d_4Pe[5/2]    5.2232E-05  2.5148E+04    3038.222      45- 136     2125
2s2_2p2(3Pe)4p_4Do[3/2]-2s2_2p2(3Pe)5d_4Pe[5/2]    1.1773E-07  2.0142E+01    5096.771      66- 136     2900
2s2_2p2(3Pe)4p_4Do[5/2]-2s2_2p2(3Pe)5d_4Pe[5/2]    7.0329E-07  1.7890E+02    5119.353      67- 136     2952
2s2_2p2(3Pe)4p_4Do[7/2]-2s2_2p2(3Pe)5d_4Pe[5/2]    2.3292E-06  7.7981E+02    5152.618      68- 136     2997
2s2_2p2(3Pe)4p_4So[3/2]-2s2_2p2(3Pe)5d_4Pe[5/2]    7.3319E-04  1.1944E+05    5223.294      69- 136     3031
2s2_2p2(3Pe)4p_4Po[5/2]-2s2_2p2(3Pe)5d_4Pe[5/2]    2.2222E-03  5.3374E+05    5268.384      71- 136     3078
2s2_2p2(3Pe)4p_4Po[3/2]-2s2_2p2(3Pe)5d_4Pe[5/2]    1.4264E-03  2.2773E+05    5276.083      72- 136     3107
2s_2p3(5So)3s_4So[3/2] -2s2_2p2(3Pe)5d_4Pe[5/2]    8.9225E-02  4.3328E+06    9566.800      94- 136     3843
2s2_2p2(3Pe)4f_4Do     -2s2_2p2(3Pe)5d_4Pe[5/2]    6.7036E-03  1.4782E+06   10038.668     103- 136     4111
2s2_2p2(3Pe)5p_4Do[3/2]-2s2_2p2(3Pe)5d_4Pe[5/2]    1.9314E-04  1.7183E+03   22350.860     121- 136     4609
2s2_2p2(3Pe)5p_4Do[5/2]-2s2_2p2(3Pe)5d_4Pe[5/2]    1.1367E-03  1.4595E+04   22785.960     122- 136     4642
2s2_2p2(3Pe)5p_4Do[7/2]-2s2_2p2(3Pe)5d_4Pe[5/2]    3.6711E-03  5.8998E+04   23517.957     123- 136     4674
2s2_2p2(3Pe)5p_4Po[3/2]-2s2_2p2(3Pe)5d_4Pe[5/2]    2.1528E-01  1.6648E+06   23973.066     125- 136     4721
2s2_2p2(3Pe)5p_4Po[5/2]-2s2_2p2(3Pe)5d_4Pe[5/2]    3.2728E-01  3.6259E+06   24530.294     126- 136     4742
2s2_2p2(3Pe)5p_4So[3/2]-2s2_2p2(3Pe)5d_4Pe[5/2]    7.6316E-01  4.9261E+06   26239.973     127- 136     4761
2s2_2p3_4So[3/2]       -2s2_2p2(3Pe)5d_4Pe[3/2]    2.9092E-02  1.3675E+09     376.693       1- 137       61
2s2_2p2(3Pe)3p_4Do[1/2]-2s2_2p2(3Pe)5d_4Pe[3/2]    2.2242E-05  2.5593E+04    1702.492      18- 137      903
2s2_2p2(3Pe)3p_4Do[3/2]-2s2_2p2(3Pe)5d_4Pe[3/2]    7.1107E-05  1.6333E+05    1704.103      19- 137      961
2s2_2p2(3Pe)3p_4Do[5/2]-2s2_2p2(3Pe)5d_4Pe[3/2]    9.3183E-05  3.2005E+05    1706.766      20- 137     1020
2s2_2p2(3Pe)3p_4Po[1/2]-2s2_2p2(3Pe)5d_4Pe[3/2]    3.4285E-04  3.7310E+05    1750.636      24- 137     1213
2s2_2p2(3Pe)3p_4Po[3/2]-2s2_2p2(3Pe)5d_4Pe[3/2]    5.4811E-05  1.1910E+05    1752.052      25- 137     1256
2s2_2p2(3Pe)3p_4Po[5/2]-2s2_2p2(3Pe)5d_4Pe[3/2]    1.2313E-04  4.0004E+05    1754.879      26- 137     1297
2s2_2p2(3Pe)3p_4So[3/2]-2s2_2p2(3Pe)5d_4Pe[3/2]    5.5643E-03  1.0547E+07    1875.950      29- 137     1464
2s2_2p2(3Pe)4p_4Do[1/2]-2s2_2p2(3Pe)5d_4Pe[3/2]    3.9415E-07  5.1015E+01    5074.771      65- 137     2851
2s2_2p2(3Pe)4p_4Do[3/2]-2s2_2p2(3Pe)5d_4Pe[3/2]    1.2582E-06  3.2410E+02    5087.252      66- 137     2901
2s2_2p2(3Pe)4p_4Do[5/2]-2s2_2p2(3Pe)5d_4Pe[3/2]    1.6441E-06  6.2968E+02    5109.750      67- 137     2953
2s2_2p2(3Pe)4p_4So[3/2]-2s2_2p2(3Pe)5d_4Pe[3/2]    4.8973E-04  1.2012E+05    5213.298      69- 137     3032
2s2_2p2(3Pe)4p_4Po[1/2]-2s2_2p2(3Pe)5d_4Pe[3/2]    2.6694E-03  3.2642E+05    5220.993      70- 137     3052
2s2_2p2(3Pe)4p_4Po[5/2]-2s2_2p2(3Pe)5d_4Pe[3/2]    9.5419E-04  3.4510E+05    5258.214      71- 137     3079
2s2_2p2(3Pe)4p_4Po[3/2]-2s2_2p2(3Pe)5d_4Pe[3/2]    4.2347E-04  1.0181E+05    5265.883      72- 137     3108
2s_2p3(5So)3s_4So[3/2] -2s2_2p2(3Pe)5d_4Pe[3/2]    5.9692E-02  4.3786E+06    9533.319      94- 137     3844
2s2_2p2(3Pe)4f_4Do     -2s2_2p2(3Pe)5d_4Pe[3/2]    4.4855E-03  1.4946E+06   10001.809     103- 137     4112
2s2_2p2(3Pe)5p_4Do[1/2]-2s2_2p2(3Pe)5d_4Pe[3/2]    6.5580E-04  4.5404E+03   21941.933     120- 137     4578
2s2_2p2(3Pe)5p_4Do[3/2]-2s2_2p2(3Pe)5d_4Pe[3/2]    2.0771E-03  2.8175E+04   22168.964     121- 137     4610
2s2_2p2(3Pe)5p_4Do[5/2]-2s2_2p2(3Pe)5d_4Pe[3/2]    2.6745E-03  5.2377E+04   22596.943     122- 137     4643
2s2_2p2(3Pe)5p_4Po[1/2]-2s2_2p2(3Pe)5d_4Pe[3/2]    4.0665E-01  2.4540E+06   23502.366     124- 137     4702
2s2_2p2(3Pe)5p_4Po[3/2]-2s2_2p2(3Pe)5d_4Pe[3/2]    6.4349E-02  7.5964E+05   23763.931     125- 137     4722
2s2_2p2(3Pe)5p_4Po[5/2]-2s2_2p2(3Pe)5d_4Pe[3/2]    1.4152E-01  2.3944E+06   24311.368     126- 137     4743
2s2_2p2(3Pe)5p_4So[3/2]-2s2_2p2(3Pe)5d_4Pe[3/2]    5.1367E-01  5.0698E+06   25989.623     127- 137     4762
