
******************************************************************************

       Photoionization cross-sections for S III

>> Verner high energy tail included for gnd level
>> Opacity project data smoothed by phot_smooth.f
>>   Smoothed with a gausian of width 3000 km/sec

          Types of cross sections included:
         -----------------------------------

          20 - Opacity Project: smoothed [number of data pairs]         

          21 - Opacity Project: scaled, smoothed [number of data pairs] 

******************************************************************************

08-Jul-1999                             !Date
1.2083D+00 2.647D+00
1.2204D+00 1.297D+00
1.2265D+00 7.819D-01
1.2326D+00 5.446D-01
1.2387D+00 4.765D-01
1.2449D+00 4.842D-01
1.2637D+00 5.586D-01
1.2763D+00 6.037D-01
1.2891D+00 6.208D-01
1.3020D+00 6.389D-01
1.3085D+00 6.530D-01
1.3282D+00 7.362D-01
1.3414D+00 7.880D-01
1.3481D+00 7.984D-01
1.3549D+00 7.901D-01
1.3684D+00 7.203D-01
1.3752D+00 6.904D-01
1.3821D+00 6.810D-01
1.3890D+00 6.918D-01
1.4099D+00 7.625D-01
1.4240D+00 8.079D-01
1.4311D+00 8.129D-01
1.4454D+00 7.934D-01
1.4527D+00 7.919D-01
1.4672D+00 8.190D-01
1.4745D+00 8.280D-01
1.4819D+00 8.291D-01
1.4893D+00 8.273D-01
1.4967D+00 8.278D-01
1.5344D+00 8.495D-01
1.5498D+00 8.572D-01
1.5575D+00 8.592D-01
1.5653D+00 8.595D-01
1.5731D+00 8.579D-01
1.5810D+00 8.535D-01
1.6208D+00 8.024D-01
1.7120D+00 6.809D-01
1.8084D+00 5.777D-01
1.9102D+00 4.902D-01
2.0178D+00 4.159D-01
2.1313D+00 3.529D-01
2.2513D+00 2.995D-01
2.3780D+00 2.541D-01
2.5119D+00 2.156D-01
2.6533D+00 1.829D-01
2.8027D+00 1.552D-01
2.9604D+00 1.317D-01
3.1271D+00 1.117D-01
3.3031D+00 9.481D-02
3.4891D+00 8.045D-02
3.6854D+00 6.826D-02
3.8930D+00 5.792D-02
4.1120D+00 4.915D-02
4.3436D+00 4.170D-02
4.5880D+00 3.539D-02
4.8464D+00 3.002D-02
5.1191D+00 2.547D-02
5.4073D+00 2.162D-02
5.7116D+00 1.834D-02
6.0332D+00 1.556D-02
6.3728D+00 1.320D-02
6.7316D+00 1.120D-02
7.1104D+00 9.504D-03
7.3994D+00 8.432D-03
3s23p21Se                               !Configuration name
20                                      !Type of cross-section
107                                     !Number of cross-section points
1.0000D+00 4.986D-01
1.0510D+00 3.036D-01
1.0563D+00 3.076D-01
1.0616D+00 3.486D-01
1.0722D+00 5.745D-01
1.0776D+00 6.914D-01
1.0829D+00 7.203D-01
1.0883D+00 6.515D-01
1.0938D+00 5.270D-01
1.0992D+00 4.129D-01
1.1047D+00 3.479D-01
1.1102D+00 3.305D-01
1.1158D+00 3.528D-01
1.1269D+00 4.415D-01
1.1382D+00 5.032D-01
1.1439D+00 5.313D-01
1.1496D+00 5.538D-01
1.1553D+00 5.491D-01
1.1669D+00 4.323D-01
1.1727D+00 3.677D-01
1.1786D+00 3.245D-01
1.1844D+00 3.054D-01
1.1904D+00 3.023D-01
1.2023D+00 3.208D-01
1.2083D+00 3.269D-01
1.2143D+00 3.251D-01
1.2204D+00 3.215D-01
1.2265D+00 3.282D-01
1.2326D+00 3.583D-01
1.2387D+00 4.213D-01
1.2511D+00 6.845D-01
1.2574D+00 8.226D-01
1.2637D+00 8.741D-01
1.2699D+00 7.991D-01
1.2763D+00 6.535D-01
1.2827D+00 5.210D-01
1.2891D+00 4.511D-01
1.2955D+00 4.492D-01
1.3020D+00 4.807D-01
1.3085D+00 5.112D-01
1.3150D+00 5.215D-01
1.3215D+00 5.158D-01
1.3282D+00 5.170D-01
1.3414D+00 5.611D-01
1.3481D+00 5.625D-01
1.3549D+00 5.394D-01
1.3616D+00 5.181D-01
1.3684D+00 5.310D-01
1.3821D+00 6.621D-01
1.3890D+00 7.044D-01
1.3960D+00 7.007D-01
1.4029D+00 6.727D-01
1.4099D+00 6.581D-01
1.4169D+00 6.704D-01
1.4240D+00 6.945D-01
1.4311D+00 7.148D-01
1.4454D+00 7.407D-01
1.4527D+00 7.530D-01
1.4599D+00 7.639D-01
1.4672D+00 7.709D-01
1.4745D+00 7.745D-01
1.4819D+00 7.783D-01
1.4893D+00 7.844D-01
1.4967D+00 7.902D-01
1.5042D+00 7.936D-01
1.5117D+00 7.951D-01
1.5192D+00 7.978D-01
1.5344D+00 8.099D-01
1.5421D+00 8.153D-01
1.5498D+00 8.180D-01
1.5653D+00 8.205D-01
1.5810D+00 8.241D-01
1.5968D+00 8.277D-01
1.6867D+00 8.589D-01
1.7552D+00 8.819D-01
1.7640D+00 8.818D-01
1.7728D+00 8.791D-01
1.7905D+00 8.646D-01
1.8174D+00 8.300D-01
1.9198D+00 7.043D-01
2.0278D+00 5.976D-01
2.1420D+00 5.070D-01
2.2625D+00 4.302D-01
2.3899D+00 3.650D-01
2.5244D+00 3.097D-01
2.6666D+00 2.628D-01
2.8166D+00 2.230D-01
2.9752D+00 1.892D-01
3.1427D+00 1.606D-01
3.3196D+00 1.362D-01
3.5065D+00 1.156D-01
3.7039D+00 9.808D-02
3.9123D+00 8.321D-02
4.1326D+00 7.060D-02
4.3652D+00 5.991D-02
4.6110D+00 5.083D-02
4.8705D+00 4.313D-02
5.1447D+00 3.659D-02
5.4342D+00 3.105D-02
5.7402D+00 2.634D-02
6.0633D+00 2.235D-02
6.4047D+00 1.897D-02
6.7651D+00 1.610D-02
7.1460D+00 1.365D-02
7.5482D+00 1.158D-02
7.9732D+00 9.830D-03
8.2559D+00 8.854D-03
3s3p35So                                !Configuration name
20                                      !Type of cross-section
44                                      !Number of cross-section points
1.0000D+00 0.000D+00
1.2023D+00 0.000D+00
1.2083D+00 1.815D-05
1.2265D+00 4.183D-03
1.2326D+00 1.617D-02
1.2387D+00 4.725D-02
1.2449D+00 1.132D-01
1.2574D+00 3.476D-01
1.2699D+00 5.674D-01
1.2763D+00 6.222D-01
1.2827D+00 6.435D-01
1.2891D+00 6.476D-01
1.3348D+00 5.952D-01
1.4029D+00 5.127D-01
1.4745D+00 4.416D-01
1.5498D+00 3.803D-01
1.6289D+00 3.276D-01
1.7120D+00 2.821D-01
1.7994D+00 2.430D-01
1.8913D+00 2.093D-01
1.9878D+00 1.802D-01
2.0893D+00 1.552D-01
2.1960D+00 1.337D-01
2.3081D+00 1.151D-01
2.4259D+00 9.917D-02
2.5497D+00 8.541D-02
2.6799D+00 7.356D-02
2.8166D+00 6.336D-02
2.9604D+00 5.457D-02
3.1115D+00 4.700D-02
3.2704D+00 4.048D-02
3.4373D+00 3.486D-02
3.6128D+00 3.002D-02
3.7972D+00 2.586D-02
3.9910D+00 2.227D-02
4.1948D+00 1.918D-02
4.4089D+00 1.652D-02
4.6339D+00 1.422D-02
4.8705D+00 1.225D-02
5.1191D+00 1.055D-02
5.3804D+00 9.090D-03
5.6551D+00 7.829D-03
5.9437D+00 6.743D-03
6.1240D+00 6.163D-03
3s3p33Do                                !Configuration name
20                                      !Type of cross-section
118                                     !Number of cross-section points
1.0000D+00 5.205D+00
1.0050D+00 4.941D+00
1.0100D+00 4.332D+00
1.0151D+00 3.726D+00
1.0252D+00 2.985D+00
1.0355D+00 2.292D+00
1.0406D+00 2.016D+00
1.0458D+00 1.871D+00
1.0510D+00 1.842D+00
1.0616D+00 1.845D+00
1.0669D+00 1.909D+00
1.0722D+00 2.181D+00
1.0829D+00 3.366D+00
1.0883D+00 3.901D+00
1.0938D+00 4.255D+00
1.0992D+00 4.733D+00
1.1102D+00 6.949D+00
1.1158D+00 7.940D+00
1.1213D+00 8.051D+00
1.1269D+00 6.996D+00
1.1382D+00 3.240D+00
1.1439D+00 1.687D+00
1.1496D+00 7.644D-01
1.1553D+00 3.199D-01
1.1611D+00 2.103D-01
1.1669D+00 2.989D-01
1.1844D+00 1.430D+00
1.1904D+00 1.680D+00
1.1963D+00 1.583D+00
1.2083D+00 8.841D-01
1.2143D+00 7.550D-01
1.2204D+00 9.776D-01
1.2326D+00 2.090D+00
1.2387D+00 2.577D+00
1.2449D+00 2.734D+00
1.2511D+00 2.545D+00
1.2637D+00 1.594D+00
1.2699D+00 1.203D+00
1.2763D+00 9.737D-01
1.2827D+00 9.033D-01
1.2891D+00 9.409D-01
1.3085D+00 1.514D+00
1.3150D+00 1.635D+00
1.3215D+00 1.579D+00
1.3348D+00 1.169D+00
1.3414D+00 1.010D+00
1.3481D+00 9.393D-01
1.3549D+00 9.106D-01
1.3684D+00 8.395D-01
1.3752D+00 8.129D-01
1.3821D+00 8.106D-01
1.3960D+00 8.461D-01
1.4029D+00 8.657D-01
1.4099D+00 8.747D-01
1.4169D+00 8.599D-01
1.4311D+00 7.790D-01
1.4383D+00 7.450D-01
1.4454D+00 7.305D-01
1.4527D+00 7.289D-01
1.4599D+00 7.267D-01
1.4672D+00 7.114D-01
1.4819D+00 6.413D-01
1.4893D+00 6.100D-01
1.4967D+00 5.921D-01
1.5042D+00 5.891D-01
1.5117D+00 5.958D-01
1.5192D+00 6.071D-01
1.5268D+00 6.162D-01
1.5344D+00 6.175D-01
1.5421D+00 6.111D-01
1.5498D+00 6.008D-01
1.5810D+00 5.734D-01
1.5889D+00 5.692D-01
1.5968D+00 5.686D-01
1.6048D+00 5.709D-01
1.6128D+00 5.749D-01
1.6208D+00 5.787D-01
1.6289D+00 5.808D-01
1.6370D+00 5.810D-01
1.6452D+00 5.801D-01
1.6534D+00 5.800D-01
1.6617D+00 5.818D-01
1.6783D+00 5.877D-01
1.6867D+00 5.908D-01
1.7816D+00 6.366D-01
1.7994D+00 6.469D-01
1.8726D+00 6.839D-01
1.8819D+00 6.838D-01
1.8913D+00 6.806D-01
1.9293D+00 6.482D-01
2.0380D+00 5.501D-01
2.1527D+00 4.668D-01
2.2739D+00 3.961D-01
2.4018D+00 3.361D-01
2.5371D+00 2.851D-01
2.6799D+00 2.419D-01
2.8307D+00 2.053D-01
2.9901D+00 1.742D-01
3.1584D+00 1.478D-01
3.3362D+00 1.254D-01
3.5240D+00 1.064D-01
3.7223D+00 9.028D-02
3.9319D+00 7.660D-02
4.1532D+00 6.500D-02
4.3870D+00 5.515D-02
4.6339D+00 4.679D-02
4.8948D+00 3.970D-02
5.1703D+00 3.369D-02
5.4614D+00 2.858D-02
5.7688D+00 2.425D-02
6.0936D+00 2.058D-02
6.4366D+00 1.746D-02
6.7990D+00 1.481D-02
7.1816D+00 1.257D-02
7.5860D+00 1.067D-02
8.0129D+00 9.050D-03
8.4641D+00 7.678D-03
8.7641D+00 6.916D-03
3s3p33Po                                !Configuration name
20                                      !Type of cross-section
123                                     !Number of cross-section points
1.0000D+00 2.430D+01
1.0050D+00 2.446D+01
1.0100D+00 2.435D+01
1.0151D+00 2.294D+01
1.0303D+00 1.028D+01
1.0355D+00 6.260D+00
1.0406D+00 3.479D+00
1.0458D+00 1.752D+00
1.0510D+00 8.742D-01
1.0563D+00 4.566D-01
1.0616D+00 2.912D-01
1.0669D+00 2.134D-01
1.0722D+00 1.701D-01
1.0776D+00 1.588D-01
1.0829D+00 2.343D-01
1.0883D+00 4.756D-01
1.0938D+00 1.040D+00
1.0992D+00 2.093D+00
1.1158D+00 9.014D+00
1.1213D+00 1.112D+01
1.1269D+00 1.183D+01
1.1326D+00 1.121D+01
1.1496D+00 5.395D+00
1.1611D+00 1.749D+00
1.1669D+00 8.040D-01
1.1727D+00 4.042D-01
1.1786D+00 3.094D-01
1.1844D+00 4.154D-01
1.1904D+00 6.948D-01
1.2023D+00 1.752D+00
1.2083D+00 2.175D+00
1.2143D+00 2.221D+00
1.2265D+00 1.357D+00
1.2326D+00 1.062D+00
1.2387D+00 1.154D+00
1.2574D+00 3.473D+00
1.2637D+00 4.160D+00
1.2699D+00 4.380D+00
1.2763D+00 4.158D+00
1.2891D+00 3.107D+00
1.3085D+00 2.074D+00
1.3150D+00 1.791D+00
1.3215D+00 1.630D+00
1.3282D+00 1.642D+00
1.3348D+00 1.781D+00
1.3414D+00 1.890D+00
1.3481D+00 1.838D+00
1.3616D+00 1.378D+00
1.3684D+00 1.166D+00
1.3752D+00 1.046D+00
1.3821D+00 9.926D-01
1.3890D+00 9.614D-01
1.3960D+00 9.232D-01
1.4029D+00 8.947D-01
1.4099D+00 9.110D-01
1.4169D+00 9.950D-01
1.4311D+00 1.292D+00
1.4383D+00 1.412D+00
1.4454D+00 1.425D+00
1.4527D+00 1.322D+00
1.4599D+00 1.141D+00
1.4745D+00 8.414D-01
1.4819D+00 7.847D-01
1.4893D+00 7.816D-01
1.4967D+00 8.101D-01
1.5042D+00 8.544D-01
1.5117D+00 8.901D-01
1.5192D+00 8.868D-01
1.5268D+00 8.349D-01
1.5344D+00 7.520D-01
1.5421D+00 6.806D-01
1.5498D+00 6.542D-01
1.5575D+00 6.666D-01
1.5653D+00 6.911D-01
1.5731D+00 7.008D-01
1.5810D+00 6.890D-01
1.5889D+00 6.680D-01
1.5968D+00 6.498D-01
1.6048D+00 6.388D-01
1.6208D+00 6.294D-01
1.6370D+00 6.093D-01
1.6534D+00 5.900D-01
1.6617D+00 5.857D-01
1.6700D+00 5.839D-01
1.6783D+00 5.831D-01
1.6867D+00 5.818D-01
1.7036D+00 5.747D-01
1.7120D+00 5.709D-01
1.7206D+00 5.688D-01
1.7292D+00 5.685D-01
1.7640D+00 5.717D-01
1.7816D+00 5.747D-01
1.8356D+00 5.990D-01
1.9486D+00 6.558D-01
1.9584D+00 6.567D-01
1.9681D+00 6.547D-01
2.0178D+00 6.166D-01
2.1420D+00 5.154D-01
2.2739D+00 4.309D-01
2.4139D+00 3.601D-01
2.5625D+00 3.011D-01
2.7202D+00 2.517D-01
2.8877D+00 2.103D-01
3.0655D+00 1.759D-01
3.2542D+00 1.470D-01
3.4545D+00 1.228D-01
3.6672D+00 1.027D-01
3.8930D+00 8.586D-02
4.1326D+00 7.177D-02
4.3870D+00 5.999D-02
4.6571D+00 5.015D-02
4.9438D+00 4.192D-02
5.2482D+00 3.504D-02
5.5713D+00 2.929D-02
5.9143D+00 2.449D-02
6.2784D+00 2.047D-02
6.6649D+00 1.711D-02
7.0752D+00 1.430D-02
7.5108D+00 1.196D-02
7.9732D+00 9.992D-03
8.4641D+00 8.354D-03
8.9851D+00 6.984D-03
9.1202D+00 6.677D-03
3s23p3d1Do                              !Configuration name
20                                      !Type of cross-section
114                                     !Number of cross-section points
1.0000D+00 1.233D+01
1.0050D+00 1.235D+01
1.0100D+00 1.234D+01
1.0151D+00 1.223D+01
1.0201D+00 1.193D+01
1.0355D+00 9.700D+00
1.0510D+00 5.930D+00
1.0616D+00 3.746D+00
1.0669D+00 3.393D+00
1.0722D+00 3.678D+00
1.0776D+00 4.500D+00
1.0938D+00 9.116D+00
1.1102D+00 1.333D+01
1.1269D+00 1.827D+01
1.1326D+00 1.942D+01
1.1382D+00 1.866D+01
1.1439D+00 1.572D+01
1.1496D+00 1.131D+01
1.1611D+00 3.620D+00
1.1669D+00 1.661D+00
1.1727D+00 8.038D-01
1.1786D+00 5.156D-01
1.1844D+00 5.065D-01
1.1963D+00 6.867D-01
1.2265D+00 1.152D+00
1.2387D+00 1.337D+00
1.2449D+00 1.468D+00
1.2511D+00 1.669D+00
1.2699D+00 2.921D+00
1.2763D+00 3.290D+00
1.2827D+00 3.357D+00
1.2891D+00 3.135D+00
1.2955D+00 2.772D+00
1.3020D+00 2.472D+00
1.3085D+00 2.342D+00
1.3150D+00 2.361D+00
1.3215D+00 2.492D+00
1.3282D+00 2.709D+00
1.3481D+00 4.144D+00
1.3549D+00 4.642D+00
1.3616D+00 4.718D+00
1.3684D+00 4.300D+00
1.3821D+00 2.792D+00
1.3890D+00 2.226D+00
1.3960D+00 1.834D+00
1.4099D+00 1.321D+00
1.4169D+00 1.191D+00
1.4240D+00 1.152D+00
1.4311D+00 1.157D+00
1.4383D+00 1.151D+00
1.4454D+00 1.135D+00
1.4527D+00 1.140D+00
1.4599D+00 1.188D+00
1.4672D+00 1.284D+00
1.4893D+00 1.869D+00
1.4967D+00 2.057D+00
1.5042D+00 2.144D+00
1.5117D+00 2.101D+00
1.5344D+00 1.300D+00
1.5421D+00 1.036D+00
1.5498D+00 8.851D-01
1.5575D+00 8.408D-01
1.5653D+00 8.872D-01
1.5810D+00 1.104D+00
1.5889D+00 1.181D+00
1.5968D+00 1.174D+00
1.6128D+00 1.018D+00
1.6208D+00 9.900D-01
1.6370D+00 1.066D+00
1.6452D+00 1.060D+00
1.6617D+00 9.352D-01
1.6700D+00 8.850D-01
1.6783D+00 8.612D-01
1.6867D+00 8.552D-01
1.6951D+00 8.620D-01
1.7036D+00 8.738D-01
1.7120D+00 8.781D-01
1.7206D+00 8.663D-01
1.7378D+00 8.134D-01
1.7465D+00 7.967D-01
1.7552D+00 7.892D-01
1.7640D+00 7.843D-01
1.7816D+00 7.689D-01
1.8540D+00 7.238D-01
1.8913D+00 7.005D-01
1.9293D+00 6.630D-01
2.0380D+00 5.626D-01
2.1527D+00 4.774D-01
2.2739D+00 4.050D-01
2.4018D+00 3.436D-01
2.5371D+00 2.916D-01
2.6799D+00 2.474D-01
2.8307D+00 2.099D-01
2.9901D+00 1.781D-01
3.1584D+00 1.511D-01
3.3362D+00 1.282D-01
3.5240D+00 1.088D-01
3.7223D+00 9.232D-02
3.9319D+00 7.833D-02
4.1532D+00 6.647D-02
4.3870D+00 5.640D-02
4.6339D+00 4.786D-02
4.8948D+00 4.060D-02
5.1703D+00 3.445D-02
5.4614D+00 2.923D-02
5.7688D+00 2.480D-02
6.0936D+00 2.104D-02
6.4366D+00 1.786D-02
6.7990D+00 1.515D-02
7.1816D+00 1.285D-02
7.5860D+00 1.091D-02
8.0129D+00 9.255D-03
8.4641D+00 7.853D-03
8.7641D+00 7.072D-03
3s23p3d3Fo                              !Configuration name
20                                      !Type of cross-section
132                                     !Number of cross-section points
1.0000D+00 1.774D+01
1.0050D+00 1.775D+01
1.0100D+00 1.781D+01
1.0151D+00 1.792D+01
1.0252D+00 1.835D+01
1.0355D+00 1.913D+01
1.0563D+00 2.258D+01
1.0669D+00 2.449D+01
1.0722D+00 2.468D+01
1.0776D+00 2.400D+01
1.0883D+00 2.017D+01
1.0938D+00 1.826D+01
1.0992D+00 1.717D+01
1.1047D+00 1.676D+01
1.1102D+00 1.606D+01
1.1213D+00 1.188D+01
1.1269D+00 9.912D+00
1.1326D+00 9.282D+00
1.1382D+00 1.027D+01
1.1439D+00 1.211D+01
1.1496D+00 1.359D+01
1.1553D+00 1.376D+01
1.1611D+00 1.235D+01
1.1669D+00 1.013D+01
1.1786D+00 6.221D+00
1.1844D+00 5.154D+00
1.1904D+00 4.537D+00
1.1963D+00 4.226D+00
1.2023D+00 4.066D+00
1.2083D+00 3.985D+00
1.2143D+00 3.939D+00
1.2204D+00 3.918D+00
1.2265D+00 3.911D+00
1.2326D+00 3.896D+00
1.2387D+00 3.847D+00
1.2511D+00 3.635D+00
1.2637D+00 3.460D+00
1.2763D+00 3.389D+00
1.2827D+00 3.353D+00
1.2891D+00 3.319D+00
1.2955D+00 3.314D+00
1.3085D+00 3.381D+00
1.3150D+00 3.380D+00
1.3215D+00 3.319D+00
1.3282D+00 3.224D+00
1.3414D+00 3.060D+00
1.3549D+00 2.961D+00
1.3752D+00 2.795D+00
1.3821D+00 2.751D+00
1.3890D+00 2.736D+00
1.3960D+00 2.742D+00
1.4029D+00 2.746D+00
1.4099D+00 2.731D+00
1.4240D+00 2.669D+00
1.4311D+00 2.653D+00
1.4383D+00 2.657D+00
1.4454D+00 2.687D+00
1.4527D+00 2.746D+00
1.4599D+00 2.865D+00
1.4672D+00 3.103D+00
1.4819D+00 4.173D+00
1.4893D+00 4.768D+00
1.4967D+00 5.009D+00
1.5042D+00 4.682D+00
1.5117D+00 4.010D+00
1.5192D+00 3.402D+00
1.5268D+00 3.128D+00
1.5344D+00 3.181D+00
1.5421D+00 3.292D+00
1.5498D+00 3.202D+00
1.5653D+00 2.374D+00
1.5731D+00 1.943D+00
1.5810D+00 1.674D+00
1.5889D+00 1.540D+00
1.5968D+00 1.492D+00
1.6048D+00 1.477D+00
1.6128D+00 1.473D+00
1.6208D+00 1.473D+00
1.6289D+00 1.477D+00
1.6370D+00 1.484D+00
1.6452D+00 1.499D+00
1.6534D+00 1.531D+00
1.6617D+00 1.602D+00
1.6867D+00 2.072D+00
1.6951D+00 2.189D+00
1.7036D+00 2.207D+00
1.7120D+00 2.102D+00
1.7292D+00 1.649D+00
1.7378D+00 1.432D+00
1.7465D+00 1.302D+00
1.7552D+00 1.259D+00
1.7640D+00 1.291D+00
1.7816D+00 1.474D+00
1.7905D+00 1.549D+00
1.7994D+00 1.553D+00
1.8174D+00 1.388D+00
1.8265D+00 1.319D+00
1.8356D+00 1.305D+00
1.8448D+00 1.315D+00
1.8540D+00 1.316D+00
1.8726D+00 1.264D+00
1.8819D+00 1.241D+00
1.9008D+00 1.217D+00
1.9293D+00 1.176D+00
1.9780D+00 1.104D+00
